,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_disposition
8048,1.890227354,131.678589,3.855,112260.0,42.05,551.66,1236.0,5356.0,4.589,0.78,285.03131,45.380451,15.569,FALSE POSITIVE
8049,1.38718209,132.8579,2.595,45.5,0.68,2011.41,1707.0,6122.0,4.471,0.996,286.0213,45.343681,14.718,FALSE POSITIVE
8050,7.918267,134.1991,3.478,83.7,0.93,195.36,953.0,5966.0,4.418,1.016,293.20148,45.354691,14.758,CANDIDATE
8051,3.138580493,132.330622,4.16343,233340.0,59.24,635.61,1281.0,5593.0,4.311,1.083,294.47293,45.389721,13.63,FALSE POSITIVE
8052,9.26147679,135.1085808,1.77,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,297.61273,46.738949,14.874,FALSE POSITIVE
8053,581.0723,371.0249,15.81,1364.2,161858.0,39.36,639.0,5026.0,2.504,16.891,297.62296,46.75386,12.282,FALSE POSITIVE
8054,10.2170589,139.1299,2.259,121.3,1.17,176.34,929.0,6211.0,4.384,1.054,298.54852,46.756641,14.455,CANDIDATE
8055,2.14344093,133.497247,3.9741,133320.0,28.69,269.48,1033.0,4817.0,4.624,0.7,299.68179,46.735352,14.945,FALSE POSITIVE
8056,86.95432088,187.7282221,12.11,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,280.99176,46.88937,14.248,CANDIDATE
8057,9.058487716,137.3378842,4.14334,127970.0,20.51,21.15,547.0,4340.0,4.671,0.573,282.54208,46.856628,15.507,FALSE POSITIVE
8058,2.856085147,133.39298,4.5776,173840.0,88.52,2164.0,1739.0,6604.0,4.178,1.526,284.06732,46.809582,14.045,FALSE POSITIVE
8059,39.238141571,148.651652,6.07183,439210.0,90.93,43.69,656.0,6599.0,4.35,1.234,285.97623,48.320782,12.153,FALSE POSITIVE
8060,53.7406575,209.294733,47.2475,116720.0,25.44,5.93,398.0,5288.0,4.577,0.737,292.21005,48.315643,13.756,FALSE POSITIVE
8061,7.436016459,136.518226,4.16284,106530.0,31.39,207.61,968.0,6214.0,4.501,0.933,293.34525,48.382301,14.546,FALSE POSITIVE
8062,27.5837778,142.9808,1.516,202.5,11.03,739.57,1330.0,5092.0,2.945,7.913,296.84967,48.323318,12.148,CANDIDATE
8063,14.361021578,138.842986,13.2895,459880.0,45.9,29.44,594.0,5229.0,4.607,0.668,298.34381,48.335892,14.419,FALSE POSITIVE
8064,14.844240386,134.2337694,6.83577,83412.0,28.97,101.98,810.0,6161.0,4.367,0.988,287.57361,50.99873,14.415,FALSE POSITIVE
8065,4.42158021,134.395447,10.4532,61032.0,188.89,10243.23,2565.0,8026.0,3.65,3.461,296.49069,50.905861,11.425,FALSE POSITIVE
