,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,ra,dec,tfopwg_disp
1516,46.5710978,6.1832559,328.3531481,2.1305645,27.1915284,582.409103,6495.0,4.43957,1.15083,8.75584,81.240221,79.74934,PC
1517,2.6796164,0.9028948,827.5423687,1.8334769,83.7078249,771.4561825,3943.0,4.62547,0.63072,10.3543,277.459311,40.541412,PC
1518,1.1188024,1.119,427.0,1.44009,247.175,1104.0,3943.0,4.62547,0.63,10.3543,277.459311,40.541412,PC
1519,20.1546939,1.3244754,1039.4977103,2.3244125,14.1253091,494.4464236,4863.0,4.63136,0.712388,11.4208,234.512299,69.017531,PC
1520,76.8663962,6.7753035,341.5578492,1.9249103,5.1039406,383.3506039,5482.02,4.5343,0.877042,8.9072,261.836763,58.214352,PC
1521,101.9509736,12.4042036,178.9213506,3.3789105,40.7166029,644.2621741,6358.0,3.76624,2.43663,7.98614,273.497311,80.658462,PC
1522,1.4663344,0.447,920.0,1.87124,40.7842,704.0,3412.0,4.9014,0.32,12.4199,289.513338,56.236779,PC
1523,3.1434423,1.6777091,807.5270012,2.4591321,221.9260448,984.4004824,4962.0,4.55115,0.794997,10.2455,255.245795,45.386283,PC
1524,2.6865041,2.5524772,12250.4189724,13.7470239,994.8105653,1432.3687809,5738.0,4.23836,1.18274,13.2576,358.558844,-30.013038,KP
1525,18.6016754,2.3690896,559.9932489,9.1300283,845.8744041,1375.4544745,6175.0,3.37301,3.7007,8.44143,254.588507,45.936445,PC
1526,210.668358,10.3865576,342.5966404,2.8961818,17.3175389,520.2849849,6683.0,4.22146,1.52592,9.13648,294.390164,66.971432,PC
1527,12.5520766,6.8268193,202.0868952,2.8228669,495.3032121,1203.1992033,7020.0,4.09526,1.84505,9.29735,294.376052,74.78231,PC
1528,0.4018586,1.5779753,111.3648011,0.5525072,568.7058283,1245.4940849,3621.0,4.7197,0.520283,11.2076,248.333273,63.524496,FA
1529,4.968923,2.0359366,381.0968827,2.5692919,510.5645624,1212.362282,6109.0,4.33438,1.20835,9.88372,252.471891,47.316983,FP
1530,27.2695221,2.4633215,1695.5626211,1.9042062,1.6049577,287.06857,3546.0,4.77262,0.460014,11.3078,332.563264,58.706093,CP
1531,179.4031712,10.7569968,618.5780905,3.7472354,8.4378703,434.6883098,6863.0,4.27882,1.4648,9.85236,292.823315,72.538317,PC
1532,11.8120707,3.3324162,189.027556,1.7481305,154.3200348,898.9288685,6037.0,4.32817,1.20105,8.5709,222.75079,85.895391,PC
1533,8.9172211,2.6426767,2147.0816912,2.7931797,17.1075621,518.7006367,4066.0,4.67766,0.605243,12.709,251.11918,60.086043,PC
1534,63.39545,5.1295954,851.8694759,3.3507179,10.0390505,453.9864688,5717.0,4.43377,1.0149601,10.0011,255.097557,39.73025,PC
1535,3.1260778,1.7185367,11383.7527081,10.9257115,328.1564535,1085.5253926,5100.0,4.4651,0.874706,11.5005,5.237757,-35.998465,KP
1536,0.3862197,0.9122445,437.6381201,1.1988782,873.6229278,1386.5985937,3863.0,4.67991,0.566304,11.1079,321.599582,68.640531,PC
1537,9.405877,1.5560322,1425.9330181,1.977596,9.8226818,451.5202868,3869.0,4.75875,0.475701,11.9959,304.299053,65.871559,PC
1538,7.0767314,2.444,630.0,2.4422,106.205,894.0,5781.0,4.45679,1.0,10.8746,304.266636,65.153844,PC
1539,6.0683318,1.9825707,1742.7332385,2.1199939,15.1794104,503.4234887,3668.0,4.73795,0.499376,11.814,115.593377,70.404076,PC
1540,340.3877311,9.2318877,718.3774619,3.6888424,2.3021148,314.1604363,6424.0,4.33722,1.27808,9.78288,288.108567,54.640427,PC
1541,100.1147944,1.8314202,1180.5148284,5.1800896,11.1294719,465.8417284,5660.0,4.10485,1.47127,9.00772,281.576196,50.492466,PC
1542,139.2632286,15.5650549,403.2688035,1.8388146,2.3286226,315.0609123,5373.01,4.49164,0.90717,10.4431,266.931576,55.872814,PC
1543,22.048775,3.8087167,540.6928554,1.9509885,15.3309639,504.6753756,4836.0,4.53282,0.794435,11.6702,250.739892,76.449587,PC
1544,4.0802864,7.6412469,1990.1263914,2.8951165,0.4779984,212.0685941,4239.0,4.61861,0.659937,11.1919,274.512058,74.466535,PC
1545,165.0212761,3.5263664,2733.6828342,3.6930639,1.8558259,297.6830148,5780.0,4.56973,0.699973,9.863,286.227961,79.755949,FA
1546,13.340145,4.611198,589.893526,3.929267,268.2186408,1032.1480322,6467.0,4.16063,1.57943,8.7435,346.319169,-36.945639,FA
1547,4.8566656,2.585881,1163.8416088,3.2987328,179.2788125,933.2585799,5607.0,4.63178,0.796892,11.8231,297.416187,68.883354,PC
1548,15.4432661,3.8493075,4652.019556,5.7063938,38.3407878,634.6510571,5607.0,4.63178,0.796892,11.8231,297.416187,68.883354,PC
1549,4.0802864,17.0708835,8209.2875404,7.6712645,0.245228,179.478432,5607.0,4.63178,0.796892,11.8231,297.416187,68.883354,PC
1550,6.0541271,3.975,170.0,2.09886,513.314,1326.0,6187.0,4.09624,1.61,8.36872,228.568622,51.468846,PC
1551,1.3103832,1.6240216,3904.2824741,9.8603222,1134.2779729,1480.1291921,5228.0,4.45189,0.928507,11.0075,336.279186,-52.536671,APC
1552,0.7196291,1.474746,4971.1456595,12.2917419,14474.6698966,2797.5117326,6454.0,4.3,1.69458,11.8199,348.296702,-53.832813,FP
1553,9.4070515,2.6715391,967.7626685,3.9938238,237.6137635,1001.354025,6223.0,4.33525,1.2331001,10.2356,339.436261,-30.608282,PC
1554,0.918902,1.781955,6718.8492909,15.2109193,3475.7112909,1958.3065353,5382.0,4.4,1.1659,12.8483,29.608056,-66.339155,APC
1555,2.9905745,2.0941681,11083.8941211,13.2344892,679.8798081,1302.3502129,5535.6,4.4,1.10305,13.3456,324.800775,-44.375271,PC
1556,2.6820061,1.8238879,8514.9665485,14.1985341,1028.0946298,1444.2022665,5465.0,4.4,1.285,12.2294,330.135944,-29.148589,PC
1557,3.8686895,2.2993852,8020.383303,13.7630707,957.9352372,1418.906528,6373.5,4.2,1.3337801,12.2397,8.980505,-64.722442,PC
1558,20.2656358,6.4172007,802.3053384,4.03042,108.2477155,822.6676779,6276.1,4.25063,1.37617,10.0596,2.944822,-68.57012,PC
1559,3.3610011,2.576465,24041.8651592,12.7273456,273.0273095,1036.7433824,5375.0,4.49371,0.817705,11.4779,348.157128,-22.674125,KP
1560,2.9432073,2.501,12560.0,13.6531,328.976,1186.0,5266.7,4.33,1.18,12.9565,61.524005,-60.467252,PC
1561,1.5933772,1.7732569,7842.0221441,9.012542,785.5954321,1350.2664813,5289.4,4.5,0.885125,12.0892,326.272747,-20.032514,APC
1562,3.1856867,3.1050115,7776.6827786,10.5098,556.4403323,1238.7235661,5590.5,4.4,1.23369,12.526,327.617657,-46.295257,PC
1563,1.8905304,1.2347831,3550.5585147,10.5098,1115.7780219,1474.0567378,5816.0,4.3,1.23369,11.449,354.816867,-78.746529,PC
1564,15.937546,4.5395335,4172.2924827,11.9220549,180.2682649,934.5436034,6093.1,4.1,1.55033,11.7493,350.869745,-52.175942,PC
