,orbital_period,transit_duration,transit_depth,planet_radius,insolation_flux,equilibrium_temperature,stellar_teff,stellar_logg,stellar_radius,stellar_mag,ra,dec,target
9270,5.6133922,1.424,15850.0,15.2695,91.3894,861.0,5848.0,4.41,1.07,12.6275,302.284347,49.154874,FALSE POSITIVE
9271,10.7386931,1.3373776,772.007984,1.4463549,8.4213258,434.4750747,3782.0,4.72167,0.518021,10.6127,32.217966,4.306928,CANDIDATE
9272,2.9508097,2.1699793,8878.2030994,19.4435142,1793.3967876,1659.7353595,5823.8,3.99,1.70744,12.5517,61.496952,51.724323,CANDIDATE
9273,49.873958,1.351,562.0,1.5,4.26,366.0,4979.0,4.632,0.629,15.518,297.828,46.884602,FALSE POSITIVE
9274,6.900352,2.452,10420.0,8.86463,59.4485,773.0,5205.8,4.53,0.85,13.1948,196.472218,-31.791555,CANDIDATE
9275,4.5049415,2.372,14400.0,11.5788,181.815,1022.0,5697.0,4.45,0.99,12.8137,292.681077,12.393071,CANDIDATE
9276,1.334101467,2.1033,120.8,1.74,5207.55,2169.0,6178.0,4.106,1.58,12.161,294.59955,38.366772,FALSE POSITIVE
9277,15.06649901,5.9885,36348.0,56.44,177.96,932.0,5751.0,4.028,1.626,13.855,293.92599,38.73798,FALSE POSITIVE
9278,1.231363214,5.8101,4774.7,10.75,1973.12,1699.0,5780.0,4.438,1.0,17.661,290.29623,47.990364,FALSE POSITIVE
9279,1.89134201,4.674,128.9,0.92,729.42,1325.0,5658.0,4.567,0.815,15.799,290.38739,37.82029,FALSE POSITIVE
9280,25.95198823,14.602,5103.3,39.94,50.51,680.0,6363.0,4.444,1.035,15.766,293.68362,38.994869,FALSE POSITIVE
9281,4.7259317,2.7740362,6309.6615331,16.7543131,1342.2730931,1543.7606642,6203.0,3.98,1.85891,9.550201,246.799613,-69.344037,CANDIDATE
9282,12.82993461,2.942,1417.4,3.31,68.41,734.0,5862.0,4.555,0.844,14.406,301.14789,44.104542,CANDIDATE
9283,3.98216698,2.396,381.3,3.32,842.48,1374.0,5570.0,4.066,1.548,15.035,292.92276,38.47728,FALSE POSITIVE
9284,1.653889476,1.7242,124.4,0.97,838.03,1373.0,5390.0,4.499,0.876,13.53,281.34882,44.295238,CONFIRMED
9285,3.0076713,3.094,10740.0,12.7756,708.388,1437.0,5704.0,4.27,1.22,13.1645,312.780843,12.806318,CANDIDATE
9286,2.921685,3.17791,17562.44572,19.091127,1458.3996927,1576.1185868,6332.0,4.26074,1.37266,11.0913,100.158863,-27.571261,FALSE POSITIVE
9287,2.94308,4.073,4490.0,45.3525,2533.34,1976.0,4437.0,4.33,3.13,10.5598,310.086743,-63.789963,CANDIDATE
9288,11.8150174,2.834,1003.0,3.48,79.66,762.0,5729.0,4.514,0.939,13.297,298.48282,46.793621,CONFIRMED
9289,3.9415041,2.866,21330.0,13.8352,321.85,1179.0,5729.0,4.52,0.92,10.5484,240.549275,28.169625,CANDIDATE
9290,420.92920358,17.3985,86013.0,62.76,1.74,293.0,6461.0,4.319,1.197,13.858,290.93896,38.119572,FALSE POSITIVE
9291,1.8080364,2.892,1264.0,10.5098,12760.9,2960.0,5354.5,4.33,1.23369,10.1853,114.050732,-48.063487,FALSE POSITIVE
9292,2.7917911,1.4664254,1018.9771433,6.0002066,1003.8358436,1435.6065273,6071.0,4.36,1.16271,10.0721,184.3669,19.839989,FALSE POSITIVE
9293,28.7796446,8.349,253.2,1.95,34.65,619.0,6000.0,4.45,1.044,13.949,284.75485,44.956032,CONFIRMED
9294,2.2085904,3.992,151.0,1.8831,3785.82,2185.0,6183.0,4.06,1.68,8.8471,155.072519,7.273586,CANDIDATE
9295,7.56052209,3.8573,659.8,2.4,164.9,914.0,5895.0,4.503,0.94,15.986,283.84515,44.609089,CONFIRMED
9296,1.5163046,3.619,1180.0,10.3854,7863.45,2623.0,6529.0,3.58,3.11,11.4186,300.767548,31.059697,FALSE POSITIVE
9297,411.447056,3.481,285.2,2.86,3.22,342.0,6519.0,4.108,1.672,13.81,298.27487,46.837372,CANDIDATE
9298,4.944927575,3.4648,1028.7,19.43,66.56,728.0,4428.0,4.59,0.701,14.928,293.73715,39.825859,FALSE POSITIVE
9299,54.325574,9.86,44.2,0.76,20.85,545.0,6343.0,4.411,1.137,12.32,283.9368,49.110329,CANDIDATE
9300,206.76425774,2.57,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,15.996,287.27939,43.76498,FALSE POSITIVE
9301,3.72277264,15.869,1114.6,22.78,188.82,945.0,5333.0,4.633,0.688,15.673,291.98618,41.55703,FALSE POSITIVE
9302,14.6134781,5.266,72.8,1.12,155.87,901.0,6194.0,4.242,1.314,13.223,290.99527,45.192211,CONFIRMED
9303,5.24242029,6.413,334.9,3.86,825.0,1367.0,5383.0,3.824,1.829,15.83,294.3847,46.157841,FALSE POSITIVE
9304,0.572079631,2.27811,127790.0,29.45,2036.56,1716.0,5233.0,4.625,0.639,14.235,296.45972,39.573738,FALSE POSITIVE
9305,5.24970432,2.746,61.9,0.67,195.3,954.0,5528.0,4.499,0.853,13.404,283.00296,44.284229,CONFIRMED
9306,1.98663794,4.7585,63156.0,134.5,25932.61,3234.0,9191.0,3.973,2.619,14.726,291.85333,42.30669,FALSE POSITIVE
9307,1.09206792,1.646,105.9,0.74,715.46,1320.0,4856.0,4.609,0.728,15.924,295.54388,44.12537,FALSE POSITIVE
9308,43.5859419,4.6814,1708.7,2.05,1.35,275.0,3893.0,4.758,0.5,14.902,297.07016,40.86879,CONFIRMED
9309,6.40802979,2.9288,7784.1,51.44,424.01,1157.0,6261.0,4.293,1.194,14.078,295.15491,43.444321,FALSE POSITIVE
9310,6.36283414,3.752,159.4,1.12,197.84,956.0,5955.0,4.534,0.883,15.567,285.22415,40.958931,CANDIDATE
9311,11.1860909,5.989,4416.0,10.3662,353.841,1208.0,6520.0,4.11,1.69,12.2525,167.584824,-69.344992,CANDIDATE
9312,0.589376952,1.71,80.7,0.93,5161.1,2162.0,5714.0,4.428,1.015,15.367,295.81616,51.121738,CANDIDATE
9313,5.1699026,1.972,3110.0,9.23587,562.184,1356.0,6283.4,4.18,1.48,10.5649,134.69028,20.868979,CANDIDATE
9314,8.76905,3.504,14361.0,21.0089,538.251,1341.0,5906.8,4.22,1.59,10.2462,111.644015,7.01633,FALSE POSITIVE
9315,2.2456869,3.155,12600.0,17.5083,2366.82,1943.0,6381.0,4.2,1.5,12.7427,119.185192,-67.071931,CANDIDATE
9316,15.64064161,6.4524,273310.0,77.18,169.73,921.0,6517.0,4.279,1.374,18.231,293.61035,39.415089,FALSE POSITIVE
9317,3.7247256,1.5817694,5875.4398428,12.2559638,2130.5830307,1732.783746,7492.0,4.29,1.54879,13.0971,122.493817,-37.073013,CANDIDATE
9318,24.4851178,4.642,263.8,7.14,456.64,1179.0,6655.0,3.638,2.995,10.8,292.22629,43.995312,FALSE POSITIVE
9319,3.6231427,2.607,18057.0,19.2142,909.044,1529.0,6458.8,4.32,1.35,10.1543,308.670288,66.440384,CANDIDATE
